"2017-03-28 10:00:40",A32-459/17(2.1.15-S7),Naujamiesčio,"DĖL PREKYBOS VIETOS PATIKRINIMO","Files/Naujamiesčio/2017/03/28/45939135/PATIKRINIMO AKTAS V. Kudirkos g. 1, 2017-03-16.doc"
"2017-02-17 12:21:27",A32-215/17(2.1.15-S9),"Naujosios Vilnios",AKTAS,"Files/Naujosios Vilnios/2017/02/17/45590219/faktiniu aktas  2017-02-17.docx"
"2017-01-27 10:22:43",A32-115/17(2.1.15-S9),"Naujosios Vilnios","NAUJOSIOS VILNIOS SENIŪNIJOS 
FAKTINIŲ DUOMENŲ PATIKRINIMO AKTAS
DĖL TERITORIJOS PATIKRINIMO","Files/Naujosios Vilnios/2017/01/27/45417116/20170127125711224.pdf"
