"2016-08-19 10:59:52",A32-1776/16(2.1.15-S9),"Naujosios Vilnios","FAKTINIŲ DUOMENŲ PATIKRINIMO AKTAS
DĖL TERITORIJOS PATIKRINIMO","Files/Naujosios Vilnios/2016/08/19/44099932/20160822140457720.pdf"
"2016-07-27 07:47:46",A32-1619/16(2.1.15-S11),Pašilaičių,"PATIKRINIMO AKTAS","Files/Pašilaičių/2016/07/27/43938962/VIEŠŲJŲ DARBUOTOJŲ PATIKRINIMO AKTAS.docx"
"2016-07-25 13:51:03",A32-1602/16(2.1.15-S11),Pašilaičių,"PATIKRINIMO AKTAS","Files/Pašilaičių/2016/07/25/43923383/VIEŠŲJŲ DARBUOTOJŲ PATIKRINIMO AKTAS.docx"
"2016-07-22 09:12:08",A32-1576/16(2.1.15-S11),Pašilaičių,"PATIKRINIMO AKTAS","Files/Pašilaičių/2016/07/22/43907265/VIEŠŲJŲ DARBUOTOJŲ PATIKRINIMO AKTAS.docx"
"2016-07-21 15:07:14",A32-1547/16(2.1.15-S11),Pašilaičių,"PATIKRINIMO (APŽIŪROS) AKTAS","Files/Pašilaičių/2016/07/21/43903162/VIEŠŲJŲ DARBUOTOJŲ PATIKRINIMO AKTAS.docx"
"2016-09-27 15:31:52",A32-2026/16(2.1.15-S15),Šeškinės,"VAIKŲ ŽAIDIMO AIKŠTELIŲ APŽIŪROS AKTAS","Files/Šeškinės/2016/09/27/44400688/VŽA apžiūros aktas 16 08 19.pdf"
"2016-08-22 12:58:04",A32-1784/16(2.1.15-S18),Verkių,"PATIKRINIMO  (APŽIŪROS)  AKTAS","Files/Verkių/2016/08/22/44110226/patikrinimo aktas 2016 08 22.doc"
