"2017-09-15 10:27:29",A32-2134/17(2.1.15-S4),Justiniškių,"DĖL MEDINĖS AIKŠTELĖS REMONTO DARBŲ","Files/Justiniškių/2017/09/15/47492981/Viršuliškių g.53B.jpg"
"2017-09-14 12:33:25",A32-2123/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ JUSTINIŠKIŲ SEN. PATIKRINIMO AKTAS 2017-09-14","Files/Justiniškių/2017/09/14/47481144/Konteinerių aikštelių patikrinimo aktas Nr. 4.pdf"
"2017-09-08 14:21:46",A32-2090/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ VIRŠULIŠKIŲ SENIŪNIJOJE 2017-09-07 PATIKRINIMO AKTAS","Files/Justiniškių/2017/09/08/47429682/Komunalinių atliekų ir antrinių žaliavų konteinerių aikštelių Viršuliškių seniūnijoje 2017-09-07 d. patikrinimo aktas..pdf"
"2017-09-08 12:35:19",A32-2087/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS TERITORIJOS 2017-09-07 PATIKRINIMO AKTAS","Files/Justiniškių/2017/09/08/47427333/Viršuliškių seniūnijos teritorijos 2017-09-07 d. patikrinimo aktas..pdf"
"2017-09-08 10:56:57",A32-2085/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS SUSISIEKIMO KOMUNIKACIJŲ BŪKLĖS AKTAS","Files/Justiniškių/2017/09/08/47425254/Viršuliškių g. 75 2017-09-07 SOS.png"
"2017-09-08 08:55:23",A32-2078/17(2.1.15-S4),Justiniškių,"TERITORIJOS PATIKRINIMO AKTAS 2017-09-07","Files/Justiniškių/2017/09/08/47423173/Teritorijos patikrinimo aktas Nr.1.pdf"
"2017-09-07 15:28:40",A32-2074/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ JUSTINIŠKIŲ SEN. PATIKRINIMO AKTAS 2017-09-07","Files/Justiniškių/2017/09/07/47418503/Konteinerių aikštelių patikrinimo aktas Nr. 4.pdf"
"2017-09-01 12:08:57",A32-2024/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS TERITORIJOS 2017-08-29 D. PATIKRINIMO AKTAS.","Files/Justiniškių/2017/09/01/47358652/Viršuliškių seniūnijos teritorijos 2017-09-01 patikrinimo aktas..pdf"
"2017-08-31 15:18:24",A32-2017/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ VIRŠULIŠKIŲ SENIŪNIJOJE  2017-08-30 PATIKRINIMO AKTAS","Files/Justiniškių/2017/08/31/47350239/Atliekų kont. patikr. aktas 2017-08-30.docx"
"2017-08-30 10:32:36",A32-1992/17(2.1.15-S4),Justiniškių,"DĖL IŠVIRTUSIŲ MEDŽIŲ LŪŽIŲ PARKE SUTVARKYMO","Files/Justiniškių/2017/08/30/47331556/Rygos g. 2A ir 2B 20170830 (1N).jpg"
