"2018-04-17 09:44:15",A32-941/18(2.1.15-S3),Grigiškių,"TERITORIJOS PATIKRINIMO AKTAS","Files/Grigiškių/2018/04/17/49931219/2018-04.16 patikrinimo aktas.msg"
"2018-04-17 08:10:52",A32-938/18(2.1.15-S3),Grigiškių,"KOMUNALINIŲ ATLIEKŲ  IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ PATIKRINIMO AKTAS","Files/Grigiškių/2018/04/17/49928624/2018-04-17 prie  konteinerių.pdf"
"2018-04-16 16:22:05",A32-936/18(2.1.15-S3),Grigiškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINEIŲ AIKŠTELIŲ PATIKRINIMO AKTAS","Files/Grigiškių/2018/04/16/49925241/20180416_135725 (1).jpg"
"2018-04-11 14:41:56",A32-845/18(2.1.15-S3),Grigiškių,"TERITORIJOS PATIKRINIMO AKTAS",Files/Grigiškių/2018/04/11/49864150/Scan0063.pdf
"2018-04-11 12:55:52",A32-840/18(2.1.15-S3),Grigiškių,"DEFEKTINIS AKTAS","Files/Grigiškių/2018/04/11/49861255/defektinis aktas.msg"
"2018-04-10 09:31:54",A32-817/18(2.1.15-S3),Grigiškių,"TERITORIJOS RATIKRINIMO AKTAS",Files/Grigiškių/2018/04/10/49837955/2018.04.09.pdf
"2018-04-05 14:30:31",A32-751/18(2.1.15-S3),Grigiškių,"TERITORIJOS PATIKRINIMO AKTAS","Files/Grigiškių/2018/04/05/49792418/Ter pat. aktas 2018 -04 -05.pdf"
"2018-04-04 16:05:57",A32-731/18(2.1.15-S3),Grigiškių,"TERITORIJOS PATIKRINIMO AKTAS","Files/Grigiškių/2018/04/04/49777989/teritor pat. aktas 2018-04-04.msg"
"2018-04-03 14:50:47",A32-710/18(2.1.15-S3),Grigiškių,"DEFEKTINIS AKTAS","Files/Grigiškių/2018/04/03/49757084/Defektinis aktas susidariusių savartynų.pdf"
"2018-04-17 13:12:01",A121-9169/18(2.1.15-S4),Justiniškių,"DĖL NAUJOS PERĖJOS ĮRENGIMO RYGOS G. TIES RYGOS G. 15","Files/Justiniškių/2018/04/17/49930773/Rygos g. 15 (1).jpg"
"2018-04-16 16:33:49",A32-937/18(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS 2018.04.16 D. TERITORIJOS PATIKRINIMO AKTAS","Files/Justiniškių/2018/04/16/49925766/Viršuliškių seniūnijos teritorijos 2018.04.16 d. patikrinimo aktas..pdf"
